  Aetna,t,American board,  ABPP,  Addiction, Buddhist,  Art Therapy
  Aetna EAP,t,art therapy,  ATR,  ADHD, Christian,  Attachment-based
  Alliance,t,cert,  ATR-BC,  Anger Management, faith,  Biofeedback
  American Behavioral,f,deg,  BS,  Anxiety, Islam,  Clinical Supervision and Licensed Supervisors -
  Anthem,f,cert,  CCHt,  Autism, Mormon,  Coaching
  BCBS Blue Home UNC Alliance,f,cert,  CCMHC,  Behavioral Issues, N/A,  Cognitive Behavioral (CBT)
  BCBS Healthy Blue Medicaid,f,cert,  CCS,  Bipolar Disorder, Other Spiritual or Religious Affiliations,  Culturally Sensitive
  BCBS SHP,f,cert,  CCTP,  Career Counseling,Jewish,  Dialectical (DBT)
  Beacon,f,cert,  CEDS,  Child or Adolescent,,  Eclectic
  Blue Care,t,cert,  CGP,  Chronic Illness,,  EMDR
  Blue Care Network,t,cert,  CJSOTS,  Chronic Pain,,  Emotionally Focused
  Blue Cross,t,cert,  CMPC,  Codependency,,  Existential
  Blue Home/UNC Health Alliance,,,  CPT,  Coping Skills,,  Experiential Therapy
  Blue Options,t,cert,  CRC,  Depression,,  Expressive Arts
  Blue Select,t,sex addic,  CSAT,  Developmental Disorders,,  Family / Marital
  Blue Shield,f,yoga,  CYT,  Divorce,,  Family Systems
  Blue Value,f,chirop,  DC,  Dual Diagnosis,,  Feminist
  Blue Value/Blue Value w/UNC HA,f,doc of education,  Ed.D,  Eating Disorders,,  Forensic Psychology
  BlueCross and BlueShield,,,  EdD,  Emotional Disturbance,,  Gestalt
  Cameron & Associates,,,  EdM,  Family Conflict,,  Gottman Method
  CareFirst,,yoga,  E-RYT,  Gay,,  Humanistic
  Ceridian,,,  HTCP,  Grief,,  Hypnotherapy
  Cigna,,,  LCAC,  Infertility,,  Imago
  Classic Blue,,,  LCAS,  Life Coaching,,  Integrative
  ComPsych,,,  LCASA,  life satisfaction,,  Internal Family Systems (IFS)
  Coventry,,,  LCAS-A,  Life Transitions,,  Interpersonal
  E4 Health,,,  LCAT,  Marital and Premarital,,  Intervention
  E4Health,,,  LCMHC,  Mood Disorders,,  Jungian
  Federal BCBS,,,  LCMHCA,  Parenting,,  Mindfulness-Based (MBCT)
  First Health,,,  LCMHCS,  Peer Relationships,,  Motivational Interviewing
  Harvard Pilgrim,,,  LCSW,  Personality Disorders,,  Multicultural
  Health Advocate,,,  LCSWA,  Postpartum,,  Narrative
  Health Choice,,,  LICSW,  Prenatal,,  Neurofeedback
  Health Net,,,  LMFT,  Psychosis,,  Parent-Child Interaction (PCIT)
  HRI/Harris Rothenburg International,,,  LMHC,  purpose,,  Person-Centered
  Humana,,,  LMSW,  Racial Identity,,  Play Therapy
  Image Net EAP,,,  LP,  Relationship Issues,,  Positive Psychology
  Magellan,,,  LPA,  School Issues,,  Prolonged Exposure Therapy
  MCMS,,,  LPC,  Self Esteem,,  Psychoanalytic
  MedCost,,,  LPCA,  Sex Therapy,,  Psychodynamic
  Medicaid,,,  LPCS,  Sexual Abuse,,  Psychological Testing and Evaluation
  Medicare,,,  LPC-S,  Sexual Addiction,,  Reality Therapy
  MHN,,,  MA,  Sleep or Insomnia,,  Relational
  MultiPlan,,,  MAEd,  Spirituality,,  Sandplay
  NC State Health Plan,,,  MBA,  Sports Performance,,  Solution Focused Brief (SFBT)
  New Directions,,,  MCC,  Stress,,  Somatic
